ementa;assunto_agrupado
denúncia irregularidades em expedição de portaria decredenciamento de empresas para contratação de serviço de vistoria veicular inviabilidade de competição omissão quanto possibilidade de realização de novos credenciamentos inexistência de critérios para reajuste do valor do serviço adoção das determinações encaminhadas pelo setor técnico procedência parcial 1 diante dos esclarecimentos prestados pelo gestor e da complexidade do tema sob análise entende se em consonância com a divisão técnica pela procedência parcial da presente denúncia luz do princípio da proporcionalidade sem prejuízo da adoção das determinações desta corte de contas pelo gestor denunciado;LICITACAO
ementa processual licitação irregularidade 1 embora não há vedação expressa da participação em comissão de licitação de parentes de sócios proprietários das empresas licitantes e contratadas demonstra clara afronta aos princípios da impessoalidade e da moralidade;LICITACAO
denúncia licitação irregularidades a comissão de licitação deixou de fornecer algumas planilhas de quantitativos e de ruas como por exemplo a planilha de composição o que tornou impossível a elaboração de uma proposta pela empresa interessada o cadastramento tardio do certame de seu edital e de seus anexos prejudica a ampla publicidade do procedimento vez que este sistema é amplamente utilizado por diversas empresas interessadas em contratar com o poder público levando a uma restrição da competitividade da licitação e assim deixando os participantes de oferecer propostas mais vantajosas administração pública municipal;LICITACAO
denúncia pregão presencial contradição quanto ao irregularidade na formalização de processo licitatório ausência de apresentação de certidões impossibilidade de retenção de pagamentos a ausência de apresentação de certidões não pode inviabilizar o pagamento por serviço já prestado mesmo na administração pública direta há impossibilidade de retenção de pagamentos porque o pagamento de serviços efetivamente prestados não está condicionado comprovação da regularidade fiscal do contratado cabe ressalva porém ao órgão contratante que deverá tomar as providências legais cabíveis em razão do descumprimento de cláusula contratual caso a contratada mesmo após notificada não regularize a situação fiscal;LICITACAO
prestação de contas irregularidades no pregão eletrônico n 013 2018 divergência entre documentos físicos e eletrônicos necessidade de realização de diligencia formalismo moderado instrumentalidade das formas 1 o princípio da vinculação ao instrumento convocatório deve ser ponderado com o formalismo moderado dos procedimentos licitatórios buscando equilibrar a aplicação dos princípios da legalidade e da vinculação ao instrumento convocatório com a equidade 2 meras irregularidades que não afetam interesses públicos ou privados não são motivos ensejadores eliminação de competidores de licitação;LICITACAO
denúncia licitação supostas irregularidades em contratação de serviços advocatícios 1 a contratação de serviços advocatícios através de procedimento de inexigibilidade é possível preponderando se a liberdade de escolha do gestor tal liberdade não é absoluta visto que encontra limites na lei 2 os recursos vinculados do fundef não podem ser utilizados para o pagamento de honorários contratuais visto que estes possuem finalidade específica para a educação;LICITACAO
irregularidades em procedimentos licitatórios publicação extratos contratuais na imprensa oficial a publicação do extrato do contrato na imprensa oficial é condição para sua eficácia e que os deveres contratuais pactuados entre as partes somente passarão a ser exigíveis a partir do momento em que houver a publicação não se podendo admitir que ele gere efeitos entre as partes contratantes antes do advento desta formalidade a ausência da totalidade dos procedimentos ressaltando que será sempre necessária a formalização dos processos de inexigibilidade que devem estar devidamente instruídos conforme preceitua os arts 20 e 26 da lei n 8 666 93 ante o apurado vota se pelo julgamento de regularidade com ressalvas s contas e a aplicação de multa consubstanciada no art 122 inciso ii da lei estadual n 5 888 09 e nos termos do voto do relator;LICITACAO
ementa licitação ausencia de planejamento nos processos licitatórios irregularidade 1 configura se irregularidade a reincidência de realização de contratos emergenciais quando constatado que houve tempo necessário para finalização de procedimento que se encontrava suspenso ou realização de novo procedimento licitatório;LICITACAO
ementa : prestação de contas licitação ausência de documentação desconformidade ausência de justificação da não utilização do pregão eletrônico enseja desconformidade com o art 1 1 do decreto n 5 504 05 descumpre o artigo 57 da lei n 8 666 93 pois este aduz que a duração dos contratos fique adstrita vigência dos respectivos créditos orçamentários;LICITACAO
prestação de contas ausência de licitação com gêneros alimentícios irregularidade a não juntada aos autos dos comprovantes de publicação na imprensa oficial das atas de reunião para julgamento da habilitação e propostas de preço que identifiquem os participantes do certame e os responsáveis pelo julgamento e a proposta de preço dos licitantes vencedores das respectivas licitações configura se irregularidade;LICITACAO
