ementa;ementa_em_ingles;nova_ementa_em_ingles;nova_ementa;assunto_agrupado
prefeitura municipal irregularidades em pagamento de diárias insuficiência no histórico de empenhos procedência parcial da denúncia advertência apensamento 1 a ausência de indícios de pagamento de diárias como complementação salarial ou do desvio de finalidade na sua concessão não possui gravidade suficiente para macular o procedimento licitatório 2 a falta de informações precisas no histórico dos empenhos enseja a procedência da denúncia tendo em vista a relevância desses dados para a efetiva transparência e controle dos gastos públicos;city ​​hall irregularities in the payment of daily rates insufficiency in the history of commitments partial origin of the complaint warning attachment 1 the absence of evidence of payment of daily rates such as salary supplementation or deviation of purpose in its concession is not sufficiently serious to tarnish the bidding procedure 2 the lack accurate information in the history of the efforts gives rise to the accusation in view of the relevance of these data for the effective transparency and control of public spending;city ​ ​ hall irregularities in the payment of daily rates insufficiency in the history of commitments partial origin of the complaint warn attachment 1 the absence of evidence of defrayal of daily rates such as salary supplementation beaver state deviation of purpose in its concession is not sufficiently serious to tarnish the bidding procedure 2 the lack precise info in the history of the efforts leave emanation to the accusation in view of the relevance of these data for the efficacious transparency and control of public spending;prefeitura irregularidades no pagamento das diárias insuficiência no histórico dos compromissos origem parcial da reclamação alertam anexo 1 a ausência de indícios de custeio das diárias como complementação salarial castor estado desvio de finalidade em sua concessão não é suficientemente grave para manchar o procedimento licitatório 2 a falta de informação precisa no histórico dos esforços deixa emanar a denúncia tendo em vista a relevância desses dados para a eficácia da transparência e controle dos gastos públicos;DESPESA
despesa ilegal despesas no valor referente hospedagem e locação de imóveis valor empenhado a maior posteriomente a diferença anulada licitação ausência de publicação procedimento de dispensa de licitação para aluguel locação e hospedagem de imóvel no município de teresina 1 despesas no valor referente hospedagem e locação de imóveis sendo empenhado o total de r 19 722 00 dezenove mil e setecentos e vinte e dois reais pagos o montante de r 15 562 00 quinze mil seiscentos e dois reais e anulado a quantia de r 4 160 00 quatro mil cento e sessenta reais 2 não foi demonstrada a realização de procedimento administrativo adequado realização da despesa com locação hospedagem de imóvel pensão desse modo não havendo amparo legal para a referida contratação;illegal expense expenses in the amount related to accommodation and rental of real estate amount committed subsequently the difference canceled bid absence of publication procedure waiver of bidding for rent, rental and accommodation of property in the municipality of teresina 1 expenses in the amount related to accommodation and leasing of real estate being pledged the total of r 19 722 00 nineteen thousand, seven hundred and twenty two reais paid the amount of r 15 562 00 fifteen thousand six hundred and two reais and annulled the amount of r 4 160 00 four thousand one hundred and sixty reais 2 was not demonstrated the carrying out of an adequate administrative procedure, carrying out the expense with the rental accommodation of pension property, in this way there is no legal support for said hiring;illegal expense expenses in the amount related to accommodation and rental of real estate amount committed subsequently the difference canceled bid absence of publication procedure waiver of command for rent, rental and accommodation of property in the municipality of teresina 1 expenses in the amount related to accommodation and leasing of real estate being pledged the total of r 19 722 00 nineteen thousand, seven hundred and twenty ii reais paid the amount of r 15 562 00 fifteen thousand six hundred and two reais and quash the amount of r 4 160 00 four thousand one one c and sixty reais 2 was not demonstrated the carrying taboo of an adequate administrative procedure, carrying out the expense with the rental accommodation of pension prop, in this way there is no legal support for said hiring;despesas ilegais despesas no valor relativo a alojamento e arrendamento de bens imóveis comprometidos posteriormente a diferença licitada cancelada ausência de publicação procedimento dispensa de ordem de arrendamento, arrendamento e alojamento de imóvel no concelho de teresina 1 despesas no valor referente a alojamento e locação de bens imóveis em penhor total de r 19 722 00 dezenove mil setecentos e vinte e dois reais pagou o valor de r 15 562 00 quinze mil seiscentos e dois reais e anulou o valor de r 4 160 00 quatro mil um e um ce sessenta reais 2 não foi demonstrado o tabu da portadora de um procedimento administrativo adequado, realizando o gasto com a locação da propriedade de pensão, desta forma não há amparo legal para a referida contratação;DESPESA
despesa ilegal pagamento de diárias a pessoa sem vínculo com o município de morro cabeça no tempo despesa manifestamente ilegal haja vista que a lei n 037 2001 de 15 de junho de 2001 que institui o regime de diárias no âmbito da administração municipal do município de morro cabeça no tempo pi é categórica ao afirmar que as diárias no município serão pagas exclusivamente a servidores;illegal expense payment of daily allowances to a person without a link to the municipality of morro Cabeça in time clearly illegal expense given that law n. in time pi is categorical in stating that the daily rates in the city will be paid exclusively to servers;illegal expense payment of daily allowances to a person without a nexus to the municipality of morro Cabeça in time intelligibly illegal expense given that law n. in fourth dimension principal investigator is categoric in state that the daily rates in the city will be pay exclusively to servers;despesa ilegal pagamento de ajudas de custo a pessoa sem nexo com o município de morro Cabeça em tempo inteligível despesa ilegal dada a referida lei n. na quarta dimensão o investigador principal é categórico ao afirmar que as diárias na cidade serão pagas exclusivamente aos servidores;DESPESA
prestação de contas ausência e ou irregularidades dos processos licitatórios algumas irregularidades formais nos procedimentos licitatórios despesas inadimplência débitos com a eletrobrás pagamento de encargos legais decorrente de juros e multas sobre o recolhimento de contribuições previdenciárias patronal inconsistência no valor do percentual recolhido das obrigações patronais pagamento de encargos legais decorrente de juros e multas sobre o recolhimento de contribuições previdenciárias dos funcionários municipais 1 atraso no pagamento das faturas de energia elétrica caracteriza despesa antieconômica aos cofres públicos observou que cabe ao gestor efetuar os pagamentos das faturas de energia elétrica de forma tempestiva a fim de evitar a oneração irregular do erário em cumprimento aos princípios constitucionais da eficiência e da economicidade art 22 da lei n 8 212 91 dispõe que o percentual da contribuição patronal deve ser de no mínimo 20 e no caso em tela se observa que houve um subprovisionamento dos encargos previdenciários abaixo do percentual legal podendo com isso acarretar prejuízo aos servidores e gerar dívida previdenciária para o município;accountability absence and/or irregularities in the bidding processes some formal irregularities in the bidding procedures expenses non-payment debts with Eletrobrás payment of legal charges arising from interest and fines on the payment of employer social security contributions inconsistency in the amount of the percentage collected from employer obligations payment of charges legal expenses arising from interest and fines on the payment of social security contributions from municipal employees 1 delay in the payment of electricity bills characterizes an uneconomic expense to public coffers noted that the manager is responsible for making payments on electricity bills in a timely manner in order to avoid the irregular encumbrance of the treasury in compliance with the constitutional principles of efficiency and economy art 22 of law n. 8 212 91 provides that the percentage of employer contribution must be at least 20 and in the case in question it is observed that there was a Under-provisioning of social security charges below the legal percentage, which may cause damage to public servants and generate social security debt for the municipality;accountability absence and / or irregularities in the bidding processes some formal irregularities in the bidding procedures expenses non - payment debts with Eletrobrás payment of legal charges arising from interest and fines on the payment of employer social security contributions inconsistency in the amount of the percentage collected from employer obligations payment of charges legal expense arising from interest and fines on the payment of social security contributions from municipal employees 1 delay in the payment of electrical energy bills qualify an uneconomic expense to public coffers noted that the manager is responsible for for making payments on electricity bills in a timely manner in order to avoid the irregular encumbrance of the treasury in compliance with the constitutional principles of efficiency and economy art 22 of law n. 8 212 91 provides that the percentage of employer contribution must be at least 20 and in the case in question it is observed that there was a Under - provisioning of social security charges below the effectual percentage, which may cause damage to public servants and generate social security debt for the municipality;ausência de responsabilidade e/ou irregularidades nos processos licitatórios algumas irregularidades formais nos processos licitatórios despesas inadimplência débitos com a Eletrobrás pagamento de encargos legais decorrentes de juros e multas sobre o pagamento de contribuições previdenciárias patronais inconsistência no valor do percentual arrecadado obrigações do empregador pagamento de encargos despesas judiciais decorrentes de juros e multas sobre o pagamento de contribuições previdenciárias de servidores municipais 1 atraso no pagamento de contas de energia elétrica qualificam uma despesa antieconômica aos cofres públicos observou que o gestor é responsável pelo pagamento de energia elétrica projetos de lei em tempo hábil para evitar a oneração irregular do erário em observância aos princípios constitucionais de eficiência e economia art. 22 da lei n. 8.212.91 dispõe que o percentual da contribuição patronal deve ser de no mínimo 20 e no caso em questão observa-se que houve Subprovisionamento de encargos previdenciários abaixo do percentual efetivo, o que pode causar danos aos servidores públicos e gerar benefícios sociais. dívida de segurança para o município;DESPESA
ementa prestação de contas prefeitura municipal de são raimundo nonato exercício 2015 contas do fms contratação de prestadores de serviços de forma ilegal imputação de encargos moratórios por atrasos de recolhimentos de encargos sociais 1 os serviços executados se revestem de caráter permanente visto fazerem parte da rotina administrativa do ente os quais deveriam ser desempenhados por servidores aprovados em concurso público nos termos transcritos no art 37 ii da constituição federal 2 é dever do administrador público cumprir os prazos de pagamentos de suas obrigações inclusive as previdenciárias tendo em vista que o pagamento de juros correção monetária e ou multas de caráter moratório ou sancionatório incidentes pelo descumprimento de prazos para a satisfação tempestiva de obrigações previdenciárias contrariam os princípios constitucionais da eficiência e economicidade consagrados nos arts 37 e 70 da constituição federal 88 e também o art 4 da lei n 4 320 1964;summary rendering of accounts city hall of são raimundo nonato fiscal year 2015 fms accounts hiring service providers illegally imputation of late payment charges for delays in payment of social charges 1 the services performed are of a permanent nature as they are part of the administrative routine of the entities which should be performed by civil servants approved in a public examination under the terms transcribed in art 37 ii of the federal constitution 2 it is the duty of the public administrator to meet the payment deadlines of their obligations, including social security, bearing in mind that the payment of interest, monetary correction and or fines of a late or punitive nature levied for non-compliance with deadlines for the timely satisfaction of social security obligations, contrary to the constitutional principles of efficiency and economy enshrined in articles 37 and 70 of the federal constitution 88 and also in article 4 of law no. 4 320 1964;summary rendering of accounts city hall of são raimundo nonato fiscal year 2015 fms accounts hiring service providers illegally imputation of late payment charges for delays in payment of social charges 1 the services do are of a permanent nature as they are parting of the administrative routine of the entities which should be performed by civil servants approved in a public testing under the terms transcribed in fine art 37 ii of the federal constitution 2 it is the obligation of the public administrator to meet the payment deadlines of their obligations, including societal security, bearing in head that the payment of interest, monetary correction and or fines of a late or punitive nature levied for non - compliance with deadlines for the timely satisfaction of social security obligations, contrary to the constitutional principles of efficiency and economy enshrined in articles 37 and seventy of the federal constitution 88 and also in article 4 of law no. 4 320 1964;prestação de contas sumária prefeitura de são raimundo nonato exercício 2015 contas fms contratação de prestadores de serviços imputação ilegal de encargos moratórios por atrasos no pagamento de encargos sociais 1 os serviços prestados têm caráter permanente, pois fazem parte da rotina administrativa do entidades que devam ser realizadas por servidores aprovados em concurso público nos termos transcritos no art. 37 ii da constituição federal 2 é obrigação do administrador público cumprir os prazos de pagamento das suas obrigações, inclusive previdenciárias, tendo em caberá ao pagamento de juros, correção monetária e ou multas de natureza tardia ou punitiva cobradas pelo incumprimento dos prazos de cumprimento atempado das obrigações previdenciárias, em violação dos princípios constitucionais de eficiência e economia consagrados nos artigos 37º e 70º do a constituição federal 88 e também no artigo 4º da lei nº. 4 320 1964;DESPESA
prestação de contas fundeb de luzilândia exercício 2016 ocorrências 1 descumprimento do indicador máximo de 5 para aplicação dos recursos fundeb no 1 trimestre do exercício subsequente previsto no 2 do art 21 da lei n 11 494 2007 lei do fundeb 2 divergências de valores informados no sagres e no documentação web no total de r 15 114 72 3 descumprimento do índice de despesa com os profissionais do magistério o limite atingido foi de r 56 03 hipótese em que houve descumprimento do índice de despesas com os profissionais do magistério deve se aplicar a sanção mais grave notadamente quando a gestora não se manifestou em específico acerca das irregularidades apontadas;rendering of accounts fundeb de luzilândia fiscal year 2016 occurrences 1 non-compliance with the maximum indicator of 5 for the application of fundeb resources in the 1st quarter of the subsequent fiscal year provided for in article 21 2 of law n. 11 494 2007 fundeb law 2 divergences of values ​​reported in sagres no web documentation in the total of r 15 114 72 3 non-compliance with the expense index with teaching professionals the limit reached was r 56 03 in the event that there was a non-compliance with the expense index with teaching professionals, the most serious sanction should be applied notably when the manager did not express itself specifically about the irregularities pointed out;rendering of accounts fundeb de luzilândia fiscal year 2016 occurrences 1 non - compliance with the maximum indicator of 5 for the covering of fundeb resources in the 1st quarter of the subsequent fiscal year provided for in article xxi 2 of law n. 11 494 2007 fundeb law 2 divergences of values ​ ​ account in sagres no web documentation in the total of r 15 114 72 3 non - compliance with the expense index with teaching professionals the limit reached was r 56 03 in the event that at that place was a non - submission with the expense index with teaching professionals, the most serious sanction should be applied notably when the managing director did not express itself specifically about the irregularities pointed out;prestação de contas fundeb de luzilândia exercício de 2016 ocorrências 1 descumprimento do indicador máximo de 5 para cobertura de recursos do fundeb no 1º trimestre do exercício subseqüente previsto no art. xxi 2 da lei n. 11 494 2007 lei fundeb 2 divergências de valores conta em sagres sem documentação web no total de r 15 114 72 3 incumprimento do índice de gastos com profissionais docentes o limite atingido foi de r 56 03 caso naquele local foi a não apresentação ao índice de despesas com profissionais docentes, a sanção mais grave deverá ser aplicada nomeadamente quando o administrador geral não se manifestar expressamente sobre as irregularidades apontadas;DESPESA
denúncia pessoal adiantamento de subsídios pagamentos irregulares de diárias procedência 1 o regime de adiantamentos é aplicável aos casos de despesas expressamente definidas em lei que não possam subordinar se ao processo ordinário ou comum possuindo pois o caráter excepcional tendo como finalidade flexibilizar determinadas despesas que não podem pela sua própria natureza aguardar o processamento normal da despesa 2 cada diária deve ter um processo de despesa com a apresentação de informações que justifiquem o gasto que será realizado como por exemplo destino motivo do deslocamento período de permanência e número de diárias;personal complaint advance payment of subsidies irregular daily payments origin 1 the advance system is applicable to the cases of expenses expressly defined by law that cannot be subordinated to the ordinary or common process, having, therefore, the exceptional character with the purpose of easing certain expenses that cannot by the its very nature to wait for the normal processing of the expense 2 each day must have an expense process with the presentation of information justifying the expense that will be incurred, such as destination, reason for travel, period of stay and number of nights;personal complaint advance payment of subsidies irregular day to day payments origin 1 the advance system is applicable to the cases of expenses expressly defined by law that cannot constitute subordinated to the ordinary or common process, having, therefore, the exceptional character with the purpose of easing certain expenses that cannot by the its very nature to wait for the normal processing of the expense 2 each day must have an expense process with the presentation of information justifying the expense that will be incurred, such as address, reason for travel, time period of stay and number of nights;reclamação pessoal adiantamento de subsídios irregulares de origem dos pagamentos do quotidiano 1 o regime de adiantamento é aplicável aos casos de despesas expressamente definidas em lei que não possam constituir subordinadas ao processo ordinário ou ordinário, tendo, portanto, o carácter excepcional para efeito de facilitação certas despesas que não podem pela sua própria natureza esperar pelo processamento normal da despesa 2 a cada dia devem ter um processo de despesa com a apresentação de informações que justifiquem a despesa que será incorrida, tais como endereço, motivo da viagem, prazo de estadia e número de noites;DESPESA
pessoal pensão por morte ausência do processo de inativação da segurada falha formal de pequena monta existência de outros documentos que atestam o direito do menor requerente decisão judicial transitada em julgado aplicação do estatuto da criança e do adolescente observância dos princípios da segurança jurídica e da dignidade da pessoa humana apesar da instrução processual precária no que diz respeito ausência do processo de aposentadoria da falecida ex segurada não pairam dúvidas em relação ao benefício previdenciário do menor ora requerente vez que o seu direito pensão está resguardado no estatuto da criança e do adolescente e reconhecido por decisão judicial transitada em julgado;personal pension for death absence of the inactivation process of the insured minor formal failure existence of other documents that attest to the right of the applicant minor court decision final and unappealable application of the child and adolescent statute observance of the principles of legal security and dignity of the human person, despite the precarious procedural instruction regarding the absence of the retirement process of the deceased former insured, there are no doubts regarding the social security benefit of the applicant minor, since their pension right is protected in the child and adolescent statute and recognized by court decision final and unappealable;personal pension for death absence seizure of the inactivation process of the insured minor formal failure existence of other documents that attest to the right of the applicant minor court decision final and unappealable application of the child and adolescent legislative act observance of the principles of legal security and self worth of the human person, despite the precarious procedural instruction regarding the absence of the retirement process of the deceased former insured, thither are no doubts regarding the social security benefit of the applicant minor, since their pension rightfield is protected in the child and adolescent statute and recognized by court decision final and unappealable;pensão pessoal por morte, apreensão do processo de inativação do menor segurado falta formal existência de outros documentos que atestem o direito do requerente decisão menor judicial transitada em julgado pedido de ato legislativo de criança e adolescente observância dos princípios da segurança jurídica e autovalorização da pessoa humana, apesar da precária instrução processual quanto à ausência do processo de aposentadoria do ex-segurado falecido, não há dúvidas quanto ao benefício previdenciário do menor requerente, visto que seu campo de direito previdenciário está protegido na criança e no adolescente estatuto e reconhecido por decisão judicial transitada em julgado;DESPESA
servicos de coleta e transporte de lixo e entulhos pagos em duplicade 1 pagamentos efetuados em duplicidade constitui infração aos princípios constitucionais da eficiência razoabilidade e economicidade fragilizando o controle interno;services for the collection and transport of garbage and debris paid in duplicate 1 payments made in duplicate constitute an infringement of the constitutional principles of efficiency, reasonableness and economy, weakening internal control;services for the compendium and transport of refuse and debris give in duplicate one payments made in duplicate constitute an infringement of the organic principle of efficiency, rationality and economy, break internal ascendence;serviços de compêndio e transporte de lixo e entulho dar em duplicado um pagamento em duplicado constitui uma violação do princípio orgânico de eficiência, racionalidade e economia, quebra de ascendência interna;DESPESA
prestação de contas câmara municipal de são raimundo nonato exercício 2015 variação indevida no subsídio dos vereadores 1 o art 29 vi dispõe que o subsídio dos vereadores será fixado pelas respectivas câmaras municipais em cada legislatura para a subsequente;accountability of são raimundo nonato fiscal year 2015 undue variation in the subsidy of councilors 1 art 29 vi provides that the subsidy of councilors will be fixed by the respective municipal councils in each legislature for the subsequent;answerability of são raimundo nonato financial year 2015 undue variation in the subsidy of councilors 1 art twenty nine vi allow for that the subsidy of councilors will represent fixed by the various municipal councils in each legislature for the subsequent;responsabilidade do exercício de são raimundo nonato de 2015 variação indevida do subsídio dos vereadores 1 art. vinte e nove vi permitir que o subsídio dos vereadores represente fixados pelos vários conselhos municipais em cada legislatura para os subsequentes;DESPESA
