arquivo;ano_mes;sumario;ementa;informacoes;area_tematica;decisao_tipo;decisao_numero;decisao_ano;assunto_agrupado;rank;prioridade
Boletim de Jurisprudência TCE-PI - julho - 19.docx;2019-07;Responsabilidade. Desvio de finalidade. Não exclusão da responsabilidade do gestor.;"RECURSO DE RECONSIDERAÇÃO. TOMADA DE CONTAS. SESAPI. MUNICÍPIO DE SÃO PEDRO DO PIAUÍ. CONVÊNIO Nº. 559/2009. PROJETO DE ASSESSORIA TÉCNICA NA ORGANIZAÇÃO DO SERVIÇO QUE INTEGRA O SISTEMA MUNICIPAL DE SAÚDE. 
Tendo em vista a detida análise dos autos, não há como excluir de responsabilidade e/ou penalidade os gestores responsáveis pela conduta que está descrita nos autos. Há, visivelmente, um desvio de finalidade, em que a responsabilidade deve recair sobre o chefe do executivo municipal.";(Recurso de Reconsideração. Processo  – Relator Cons. Subst. Alisson Felipe de Araújo. Plenário. Decisão por Maioria. Acórdão nº 1.183/19 publicado no );RESPONSABILIDADE;acordao;1183;2019.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - Setembro 2020.docx;2020-09;Responsabilidade. Ausência de responsabilização do gestor em ocorrências não motivadas pelo mesmo e resultante de contratos anteriormente firmados.;"RESPONSABILIDADE. CONTRATOS FIRMADOS ANTERIORES À GESTÃO ORA ANALISADA. PROVIMENTO. 
Não cabe responsabilização ao gestor de ocorrências não motivadas pelo mesmo e resultante de contratos anteriormente firmados. ";(Pedido de Revisão. Processo  – Relator: Cons. Subst. Jackson Nobre Veras. Plenário. Decisão Unânime. Acórdão nº 1.129/20 publicado no );RESPONSABILIDADE;acordao;1129;2020.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - Setembro 2020.docx;2020-09;Responsabilidade. Responsabilidade solidária do controlador interno.;"CONTROLE INTERNO DA PREFEITURA. SUBLOCAÇÃO DE VEICULOS SEM AUTORIZAÇÃO LEGAL. UTILIZAÇAO DE VEÍCULOS INADEQUADOS AO TRANSPORTE ESCOLAR. PAGAMENTO IRREGULAR DE DESPESAS COM LOCAÇÃO DE VEÍCULOS PARA TRANSPORTE ESCOLAR E DE SERVIÇOS DIVERSOS. FRACIONAMENTO DE DESPESAS. CADASTRO INTEMPESTIVO DE DISPENSA DE LICITAÇÃO NO SISTEMA LICITAÇÕES WEB. PERMISSÃO DE SERVIÇOS POR TERCEIROS NÃO CONTRATADOS PELA ADMINISTRAÇAO. ADITIVAÇÃO INDEVIDA DE CONTRATO. REALIZAÇÃO DE PAGAMENTOS SEM COBERTURA CONTRATUAL. 
Cumpre aplicar multa ao controlador interno, em razão de falhas apontadas na prestação de contas da prefeitura municipal, tendo em vista sua responsabilidade solidária, constitucionalmente prevista. ";(Prestação de Contas. Processo  – Relatora: Consª. Waltânia Maria Nogueira de Sousa Leal Alvarenga. Segunda Câmara. Decisão Unânime. Acórdão nº 1.169/2020 publicado no );RESPONSABILIDADE;acordao;1169;2020.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - junho 2020.docx;2020-06;Responsabilidade. Ausência de planejamento pelo gestor pode acarretar dono ao erário.;"PRESTAÇÃO DE CONTAS. DESPESAS COM MULTAS E JUROS PELO ATRASO NO PAGAMENTO DE OBRIGAÇÕES.
Em relação às despesas com multas e juros pelo atraso no pagamento de obrigações, deve-se ressaltar que cabe à gestora efetuar o devido planejamento das despesas, de acordo com as receitas arrecadadas, a fim de evitar a ocorrência de fatos desta natureza, os quais acarretam prejuízo ao erário. ";(Prestação de Contas. Processo  – Relator: Cons. Subst. Alisson Felipe de Araújo. Segunda Câmara. Decisão Unânime. Acórdão nº 433/2020 publicado no );RESPONSABILIDADE;acordao;433;2020.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - junho 2020.docx;2020-06;Responsabilidade. Não responsabilização do atual gestor. Continuidade ao processo licitatório.;"AUDITORIA DE OBRAS E SERVIÇOS DE ENGENHARIA. IRREGULARIDADE EM SERVIÇOS DE PAVIMENTAÇÃO. AUSÊNCIA DE ESPECIFICAÇÃO TÉCNICA RELATIVA À COMPOSIÇÃO GRANULOMÉTRICA DA CAPA ASFÁLTICA. DESCONFORMIDADE DA SEÇÃO TRANSVERSAL (LARGURA) DA VIA EXECUTADA. DESCONFORMIDADE DA ESPESSURA DO PAVIMENTO. 
1- Considerando as informações prestadas pela Divisão Técnica e, concordando com o parecer ministerial, entende-se pela procedência parcial da auditoria, visto que algumas ocorrências foram sanadas ou parcialmente sanadas pelo gestor;
2- Entende-se, ainda, pela não aplicação de multa ao atual gestor, uma vez que este, ao assumir o cargo, apenas deu continuidade ao processo licitatório que deu margem à presente auditoria, bem como tomou as providências possíveis para regularizar as falhas constatadas. ";(Auditoria. Processo  – Relator: Conselheiro Joaquim Kennedy Nogueira Barros. Plenário. Decisão por  maioria. Acórdão nº 506/2020 publicado no );RESPONSABILIDADE;acordao;506;2020.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - julho 2020 FINAL.docx;2020-07;Responsabilidade. O gestor público ou qualquer pessoa física ou jurídica que administre, arrecada ou gerencie recursos públicos tem que comprovar a boa aplicação.;"TOMADA DE CONTAS ESPECIAL. SECRETARIA DE CULTURA DO ESTADO DO PIAUÍ – SECULT. EXERCÍCIO 2019. OMISSÃO DO DEVER DE PRESTAR CONTAS. CONVÊNIO N° 075/2017 FIRMADO COM A FEDERAÇÃO PIAUIENSE DE QUADRILHAS JUNINAS 
1 – A CF ao tratar de recursos públicos inverte o ônus probatório da prova, onde imputa ao gestor público ou qualquer pessoa física ou jurídica, que passe a administrar, arrecadar ou gerenciá-los, terão a obrigatoriedade de comprovar a boa aplicação desses recursos, conforme dispõe o parágrafo único de seu art. 70 ";(Prestação de Contas. Processo  – Relatora: Consª. Lilian de Almeida Veloso Nunes Martins. Plenário. Decisão Unânime. Acórdão nº 882/20 publicado no );RESPONSABILIDADE;acordao;882;2020.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - julho 2020 FINAL.docx;2020-07;Responsabilidade. Compete ao gestor comprovar a boa e regular aplicação dos recursos públicos. Ausência do envio dos dados do Sagres Folha. Violação aos princípios da publicidade e transparência.;"NÃO ENVIO DOS DADOS DO SAGRES FOLHA – 13º SALÁRIO. 
1. O não envio de dados necessários constitui falha porque contraria a transparência e a publicidade, bem como constitui óbice à fiscalização. Compete ao gestor comprovar a boa e regular aplicação dos recursos públicos, consoante disposição do art. 70, parágrafo único, da CRFB/1988 e art. 93 do Decreto lei n.200/67. A ausência de peças ou não envio de dados necessários caracteriza vício e, portanto, sujeita o gestor às sanções legais decorrente da falha. ";(Prestação de Contas. Processo  – Relator: Cons. Luciano Nunes Santos. Primeira Câmara. Decisão unânime. Acórdão nº 890/2020 publicado no );RESPONSABILIDADE;acordao;890;2020.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - Agosto- 19.docx;2019-08;Responsabilidade. Gestor tem que comprovar a boa e regular aplicação dos recursos públicos.;"INTEMPESTIVIDADE NO ENVIO DAS PRESTAÇÕES DE CONTAS MENSAIS (RESOLUÇÃO TCE Nº 09/2014); AUSÊNCIA DE PEÇAS COMPONENTES DAS PRESTAÇÕES DE CONTAS MENSAIS (RESOLUÇÃO TCE Nº 09/2014); AUSÊNCIA DO ENVIO DE DADOS POR MEIO ELETRÔNICO A ESTA CORTE (RESOLUÇÃO TCE Nº 09/2014); IRREGULARIDADE EM PROCEDIMENTO DE DISPENSA DE LICITAÇÃO (ART. 24, I DA LEI Nº 8.666/93). 
Compete ao gestor comprovar a boa e regular aplicação dos recursos públicos, consoante disposição do art. 70, parágrafo único, da CRFB/1988 e art. 93 do Decreto-lei n.200/67. As falhas apuradas, portanto, sujeitam o gestor às sanções legais decorrentes.";(Prestação de Contas . Processo 5 – Relator Cons. Luciano Nunes Santos. Primeira Câmara. Decisão unânime. Acórdão nº 1.336/16 publicado no );RESPONSABILIDADE;acordao;1336;2016.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - Agosto- 19.docx;2019-08;Responsabilidade. Gestor não comprovou o cumprimento das determinações do TCE/PI.;"DENÚNCIA. DESCUMPRIMENTO A DETERMINAÇÃO DO TRIBUNAL. IRREGULARIDADE EM PROCEDIMENTO LICITATÓRIO. INFRINGÊNCIA AOS PRINCÍPIOS CONSTITUCIONAIS DA ADMINISTRAÇÃO PÚBLICA. PRINCÍPIOS DA MORALIDADE E PUBLICIDADE NÃO FORAM OBSERVADOS E OBEDECIDOS.
2 - Não foi publicado o procedimento licitatório correto. O Tribunal determinou uma série de medidas, dentre elas a manutenção da suspensão de contratos, a sustação de emissão de empenhos e pagamentos decorrentes do contrato, comunicação à Câmara Municipal, dentre outras. O gestor, contudo, não apresentou qualquer comprovação de cumprimento das determinações contidas no Acórdão. O gestor incorreu em manifesto descumprimento de determinação deste tribunal. A omissão do gestor em atender à determinação deste TCE demonstra pouco zelo com o Tribunal de Contas, merecendo, destarte, reprimenda. Impende destacar que o art. 79, III, da Lei 5.888/2009 prescreve que o Tribunal deverá aplicar multa ao responsável por “não atendimento, no prazo fixado, a diligência ou determinação do Tribunal”. Ademais, o relacionamento dos presentes autos ao processo de prestação de contas da Prefeitura Municipal de Pimenteiras, para que a ocorrência ora tratada repercuta negativamente, exercício de 2017.";(Denúncia. Processo  – Relator: Cons. Luciano Nunes Santos. Plenário. Decisão por maioria. Acórdão nº 1.315/19 publicado no );RESPONSABILIDADE;acordao;1315;2019.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - Agosto- 19.docx;2019-08;Responsabilidade. Inobservância do chefe do executivo ao dever de prestar contas;"REPRESENTAÇÃO. INADIMPLÊNCIA COM AS DOCUMENTAÇÕES COMPONENTES DAS PRESTAÇÕES DE CONTAS. AFRONTA AO COMANDO CONSTITUCIONAL QUE IMPÕE O DEVER DE PRESTAR CONTAS. RELACIONAMENTO DOS AUTOS AO PROCESSO DAS CONTAS DE GOVERNO DO CHEFE DO EXECUTIVO MUNICIPAL. 
5 - A Representação constitui um tipo Processo de Fiscalização, previsto regimentalmente (art. 239), na qual poderão ser utilizados os Instrumentos de Fiscalização constantes no art. 177, do mesmo Diploma Legal. Isto posto, com autorização do art. 185, II, b, poderá o Relator proceder com o apensamento do Processo às respectivas Contas. Portanto, julga-se procedente a presente Representação, aplica-se a multa devido à inobservância quanto ao dever de prestar contas de forma consentânea e, por fim, relaciona-se às contas de governo do chefe do executivo municipal.";(Representação. Processo  – Relator: Cons. Luciano Nunes Santos. Plenário. Decisão Unânime. Acórdão nº 1.395/19 publicado no );RESPONSABILIDADE;acordao;1395;2019.0;RESPONSABILIDADE;9;0
